filename,char,latin,bits
synthetic_braille_dataset\a\a_142.png,अ,a,1
synthetic_braille_dataset\a\a_143.png,अ,a,1
synthetic_braille_dataset\a\a_144.png,अ,a,1
synthetic_braille_dataset\a\a_145.png,अ,a,1
synthetic_braille_dataset\a\a_146.png,अ,a,1
synthetic_braille_dataset\a\a_147.png,अ,a,1
synthetic_braille_dataset\a\a_148.png,अ,a,1
synthetic_braille_dataset\a\a_149.png,अ,a,1
synthetic_braille_dataset\a\a_150.png,अ,a,1
synthetic_braille_dataset\a\a_151.png,अ,a,1
synthetic_braille_dataset\a\a_152.png,अ,a,1
synthetic_braille_dataset\a\a_153.png,अ,a,1
synthetic_braille_dataset\a\a_154.png,अ,a,1
synthetic_braille_dataset\a\a_155.png,अ,a,1
synthetic_braille_dataset\a\a_156.png,अ,a,1
synthetic_braille_dataset\a\a_157.png,अ,a,1
synthetic_braille_dataset\a\a_158.png,अ,a,1
synthetic_braille_dataset\a\a_159.png,अ,a,1
synthetic_braille_dataset\a\a_160.png,अ,a,1
synthetic_braille_dataset\a\a_161.png,अ,a,1
synthetic_braille_dataset\a\a_162.png,अ,a,1
synthetic_braille_dataset\a\a_163.png,अ,a,1
synthetic_braille_dataset\a\a_164.png,अ,a,1
synthetic_braille_dataset\a\a_165.png,अ,a,1
synthetic_braille_dataset\a\a_166.png,अ,a,1
synthetic_braille_dataset\a\a_167.png,अ,a,1
synthetic_braille_dataset\a\a_168.png,अ,a,1
synthetic_braille_dataset\a\a_169.png,अ,a,1
synthetic_braille_dataset\a\a_170.png,अ,a,1
synthetic_braille_dataset\a\a_171.png,अ,a,1
synthetic_braille_dataset\a\a_172.png,अ,a,1
synthetic_braille_dataset\a\a_173.png,अ,a,1
synthetic_braille_dataset\a\a_174.png,अ,a,1
synthetic_braille_dataset\a\a_175.png,अ,a,1
synthetic_braille_dataset\a\a_176.png,अ,a,1
synthetic_braille_dataset\a\a_177.png,अ,a,1
synthetic_braille_dataset\a\a_178.png,अ,a,1
synthetic_braille_dataset\a\a_179.png,अ,a,1
synthetic_braille_dataset\a\a_180.png,अ,a,1
synthetic_braille_dataset\a\a_181.png,अ,a,1
synthetic_braille_dataset\a\a_182.png,अ,a,1
synthetic_braille_dataset\a\a_183.png,अ,a,1
synthetic_braille_dataset\a\a_184.png,अ,a,1
synthetic_braille_dataset\a\a_185.png,अ,a,1
synthetic_braille_dataset\a\a_186.png,अ,a,1
synthetic_braille_dataset\a\a_187.png,अ,a,1
synthetic_braille_dataset\a\a_188.png,अ,a,1
synthetic_braille_dataset\a\a_189.png,अ,a,1
synthetic_braille_dataset\a\a_190.png,अ,a,1
synthetic_braille_dataset\a\a_191.png,अ,a,1
synthetic_braille_dataset\a\a_192.png,अ,a,1
synthetic_braille_dataset\a\a_193.png,अ,a,1
synthetic_braille_dataset\a\a_194.png,अ,a,1
synthetic_braille_dataset\a\a_195.png,अ,a,1
synthetic_braille_dataset\a\a_196.png,अ,a,1
synthetic_braille_dataset\a\a_197.png,अ,a,1
synthetic_braille_dataset\a\a_198.png,अ,a,1
synthetic_braille_dataset\a\a_199.png,अ,a,1
synthetic_braille_dataset\a\a_200.png,अ,a,1
synthetic_braille_dataset\a\a_201.png,अ,a,1
synthetic_braille_dataset\a\a_202.png,अ,a,1
synthetic_braille_dataset\a\a_203.png,अ,a,1
synthetic_braille_dataset\a\a_204.png,अ,a,1
synthetic_braille_dataset\a\a_205.png,अ,a,1
synthetic_braille_dataset\a\a_206.png,अ,a,1
synthetic_braille_dataset\a\a_207.png,अ,a,1
synthetic_braille_dataset\a\a_208.png,अ,a,1
synthetic_braille_dataset\a\a_209.png,अ,a,1
synthetic_braille_dataset\a\a_210.png,अ,a,1
synthetic_braille_dataset\a\a_211.png,अ,a,1
synthetic_braille_dataset\a\a_212.png,अ,a,1
synthetic_braille_dataset\a\a_213.png,अ,a,1
synthetic_braille_dataset\a\a_214.png,अ,a,1
synthetic_braille_dataset\a\a_215.png,अ,a,1
synthetic_braille_dataset\a\a_216.png,अ,a,1
synthetic_braille_dataset\a\a_217.png,अ,a,1
synthetic_braille_dataset\a\a_218.png,अ,a,1
synthetic_braille_dataset\a\a_219.png,अ,a,1
synthetic_braille_dataset\a\a_220.png,अ,a,1
synthetic_braille_dataset\a\a_221.png,अ,a,1
synthetic_braille_dataset\a\a_222.png,अ,a,1
synthetic_braille_dataset\a\a_223.png,अ,a,1
synthetic_braille_dataset\a\a_224.png,अ,a,1
synthetic_braille_dataset\a\a_225.png,अ,a,1
synthetic_braille_dataset\a\a_226.png,अ,a,1
synthetic_braille_dataset\a\a_227.png,अ,a,1
synthetic_braille_dataset\a\a_228.png,अ,a,1
synthetic_braille_dataset\a\a_229.png,अ,a,1
synthetic_braille_dataset\a\a_230.png,अ,a,1
synthetic_braille_dataset\a\a_231.png,अ,a,1
synthetic_braille_dataset\a\a_232.png,अ,a,1
synthetic_braille_dataset\a\a_233.png,अ,a,1
synthetic_braille_dataset\a\a_234.png,अ,a,1
synthetic_braille_dataset\a\a_235.png,अ,a,1
synthetic_braille_dataset\a\a_236.png,अ,a,1
synthetic_braille_dataset\a\a_237.png,अ,a,1
synthetic_braille_dataset\a\a_238.png,अ,a,1
synthetic_braille_dataset\a\a_239.png,अ,a,1
synthetic_braille_dataset\a\a_240.png,अ,a,1
synthetic_braille_dataset\a\a_241.png,अ,a,1
synthetic_braille_dataset\a\a_242.png,अ,a,1
synthetic_braille_dataset\a\a_243.png,अ,a,1
synthetic_braille_dataset\a\a_244.png,अ,a,1
synthetic_braille_dataset\a\a_245.png,अ,a,1
synthetic_braille_dataset\a\a_246.png,अ,a,1
synthetic_braille_dataset\a\a_247.png,अ,a,1
synthetic_braille_dataset\a\a_248.png,अ,a,1
synthetic_braille_dataset\a\a_249.png,अ,a,1
synthetic_braille_dataset\aa\aa_000.png,आ,aa,28
synthetic_braille_dataset\aa\aa_001.png,आ,aa,28
synthetic_braille_dataset\aa\aa_002.png,आ,aa,28
synthetic_braille_dataset\aa\aa_003.png,आ,aa,28
synthetic_braille_dataset\aa\aa_004.png,आ,aa,28
synthetic_braille_dataset\aa\aa_005.png,आ,aa,28
synthetic_braille_dataset\aa\aa_006.png,आ,aa,28
synthetic_braille_dataset\aa\aa_007.png,आ,aa,28
synthetic_braille_dataset\aa\aa_008.png,आ,aa,28
synthetic_braille_dataset\aa\aa_009.png,आ,aa,28
synthetic_braille_dataset\aa\aa_010.png,आ,aa,28
synthetic_braille_dataset\aa\aa_011.png,आ,aa,28
synthetic_braille_dataset\aa\aa_012.png,आ,aa,28
synthetic_braille_dataset\aa\aa_013.png,आ,aa,28
synthetic_braille_dataset\aa\aa_014.png,आ,aa,28
synthetic_braille_dataset\aa\aa_015.png,आ,aa,28
synthetic_braille_dataset\aa\aa_016.png,आ,aa,28
synthetic_braille_dataset\aa\aa_017.png,आ,aa,28
synthetic_braille_dataset\aa\aa_018.png,आ,aa,28
synthetic_braille_dataset\aa\aa_019.png,आ,aa,28
synthetic_braille_dataset\aa\aa_020.png,आ,aa,28
synthetic_braille_dataset\aa\aa_021.png,आ,aa,28
synthetic_braille_dataset\aa\aa_022.png,आ,aa,28
synthetic_braille_dataset\aa\aa_023.png,आ,aa,28
synthetic_braille_dataset\aa\aa_024.png,आ,aa,28
synthetic_braille_dataset\aa\aa_025.png,आ,aa,28
synthetic_braille_dataset\aa\aa_026.png,आ,aa,28
synthetic_braille_dataset\aa\aa_027.png,आ,aa,28
synthetic_braille_dataset\aa\aa_028.png,आ,aa,28
synthetic_braille_dataset\aa\aa_029.png,आ,aa,28
synthetic_braille_dataset\aa\aa_030.png,आ,aa,28
synthetic_braille_dataset\aa\aa_031.png,आ,aa,28
synthetic_braille_dataset\aa\aa_032.png,आ,aa,28
synthetic_braille_dataset\aa\aa_033.png,आ,aa,28
synthetic_braille_dataset\aa\aa_034.png,आ,aa,28
synthetic_braille_dataset\aa\aa_035.png,आ,aa,28
synthetic_braille_dataset\aa\aa_036.png,आ,aa,28
synthetic_braille_dataset\aa\aa_037.png,आ,aa,28
synthetic_braille_dataset\aa\aa_038.png,आ,aa,28
synthetic_braille_dataset\aa\aa_039.png,आ,aa,28
synthetic_braille_dataset\aa\aa_040.png,आ,aa,28
synthetic_braille_dataset\aa\aa_041.png,आ,aa,28
synthetic_braille_dataset\aa\aa_042.png,आ,aa,28
synthetic_braille_dataset\aa\aa_043.png,आ,aa,28
synthetic_braille_dataset\aa\aa_044.png,आ,aa,28
synthetic_braille_dataset\aa\aa_045.png,आ,aa,28
synthetic_braille_dataset\aa\aa_046.png,आ,aa,28
synthetic_braille_dataset\aa\aa_047.png,आ,aa,28
synthetic_braille_dataset\aa\aa_048.png,आ,aa,28
synthetic_braille_dataset\aa\aa_049.png,आ,aa,28
synthetic_braille_dataset\aa\aa_050.png,आ,aa,28
synthetic_braille_dataset\aa\aa_051.png,आ,aa,28
synthetic_braille_dataset\aa\aa_052.png,आ,aa,28
synthetic_braille_dataset\aa\aa_053.png,आ,aa,28
synthetic_braille_dataset\aa\aa_054.png,आ,aa,28
synthetic_braille_dataset\aa\aa_055.png,आ,aa,28
synthetic_braille_dataset\aa\aa_056.png,आ,aa,28
synthetic_braille_dataset\aa\aa_057.png,आ,aa,28
synthetic_braille_dataset\aa\aa_058.png,आ,aa,28
synthetic_braille_dataset\aa\aa_059.png,आ,aa,28
synthetic_braille_dataset\aa\aa_060.png,आ,aa,28
synthetic_braille_dataset\aa\aa_061.png,आ,aa,28
synthetic_braille_dataset\aa\aa_062.png,आ,aa,28
synthetic_braille_dataset\aa\aa_063.png,आ,aa,28
synthetic_braille_dataset\aa\aa_064.png,आ,aa,28
synthetic_braille_dataset\aa\aa_065.png,आ,aa,28
synthetic_braille_dataset\aa\aa_066.png,आ,aa,28
synthetic_braille_dataset\aa\aa_067.png,आ,aa,28
synthetic_braille_dataset\aa\aa_068.png,आ,aa,28
synthetic_braille_dataset\aa\aa_069.png,आ,aa,28
synthetic_braille_dataset\aa\aa_070.png,आ,aa,28
synthetic_braille_dataset\aa\aa_071.png,आ,aa,28
synthetic_braille_dataset\aa\aa_072.png,आ,aa,28
synthetic_braille_dataset\aa\aa_073.png,आ,aa,28
synthetic_braille_dataset\aa\aa_074.png,आ,aa,28
synthetic_braille_dataset\aa\aa_075.png,आ,aa,28
synthetic_braille_dataset\aa\aa_076.png,आ,aa,28
synthetic_braille_dataset\aa\aa_077.png,आ,aa,28
synthetic_braille_dataset\aa\aa_078.png,आ,aa,28
synthetic_braille_dataset\aa\aa_079.png,आ,aa,28
synthetic_braille_dataset\aa\aa_080.png,आ,aa,28
synthetic_braille_dataset\aa\aa_081.png,आ,aa,28
synthetic_braille_dataset\aa\aa_082.png,आ,aa,28
synthetic_braille_dataset\aa\aa_083.png,आ,aa,28
synthetic_braille_dataset\aa\aa_084.png,आ,aa,28
synthetic_braille_dataset\aa\aa_085.png,आ,aa,28
synthetic_braille_dataset\aa\aa_086.png,आ,aa,28
synthetic_braille_dataset\aa\aa_087.png,आ,aa,28
synthetic_braille_dataset\aa\aa_088.png,आ,aa,28
synthetic_braille_dataset\aa\aa_089.png,आ,aa,28
synthetic_braille_dataset\aa\aa_090.png,आ,aa,28
synthetic_braille_dataset\aa\aa_091.png,आ,aa,28
synthetic_braille_dataset\aa\aa_092.png,आ,aa,28
synthetic_braille_dataset\aa\aa_093.png,आ,aa,28
synthetic_braille_dataset\aa\aa_094.png,आ,aa,28
synthetic_braille_dataset\aa\aa_095.png,आ,aa,28
synthetic_braille_dataset\aa\aa_096.png,आ,aa,28
synthetic_braille_dataset\aa\aa_097.png,आ,aa,28
synthetic_braille_dataset\aa\aa_098.png,आ,aa,28
synthetic_braille_dataset\aa\aa_099.png,आ,aa,28
synthetic_braille_dataset\aa\aa_100.png,आ,aa,28
synthetic_braille_dataset\aa\aa_101.png,आ,aa,28
synthetic_braille_dataset\aa\aa_102.png,आ,aa,28
synthetic_braille_dataset\aa\aa_103.png,आ,aa,28
synthetic_braille_dataset\aa\aa_104.png,आ,aa,28
synthetic_braille_dataset\aa\aa_105.png,आ,aa,28
synthetic_braille_dataset\aa\aa_106.png,आ,aa,28
synthetic_braille_dataset\aa\aa_107.png,आ,aa,28
synthetic_braille_dataset\aa\aa_108.png,आ,aa,28
synthetic_braille_dataset\aa\aa_109.png,आ,aa,28
synthetic_braille_dataset\aa\aa_110.png,आ,aa,28
synthetic_braille_dataset\aa\aa_111.png,आ,aa,28
synthetic_braille_dataset\aa\aa_112.png,आ,aa,28
synthetic_braille_dataset\aa\aa_113.png,आ,aa,28
synthetic_braille_dataset\aa\aa_114.png,आ,aa,28
synthetic_braille_dataset\aa\aa_115.png,आ,aa,28
synthetic_braille_dataset\aa\aa_116.png,आ,aa,28
synthetic_braille_dataset\aa\aa_117.png,आ,aa,28
synthetic_braille_dataset\aa\aa_118.png,आ,aa,28
synthetic_braille_dataset\aa\aa_119.png,आ,aa,28
synthetic_braille_dataset\aa\aa_120.png,आ,aa,28
synthetic_braille_dataset\aa\aa_121.png,आ,aa,28
synthetic_braille_dataset\aa\aa_122.png,आ,aa,28
synthetic_braille_dataset\aa\aa_123.png,आ,aa,28
synthetic_braille_dataset\aa\aa_124.png,आ,aa,28
synthetic_braille_dataset\aa\aa_125.png,आ,aa,28
synthetic_braille_dataset\aa\aa_126.png,आ,aa,28
synthetic_braille_dataset\aa\aa_127.png,आ,aa,28
synthetic_braille_dataset\aa\aa_128.png,आ,aa,28
synthetic_braille_dataset\aa\aa_129.png,आ,aa,28
synthetic_braille_dataset\aa\aa_130.png,आ,aa,28
synthetic_braille_dataset\aa\aa_131.png,आ,aa,28
synthetic_braille_dataset\aa\aa_132.png,आ,aa,28
synthetic_braille_dataset\aa\aa_133.png,आ,aa,28
synthetic_braille_dataset\aa\aa_134.png,आ,aa,28
synthetic_braille_dataset\aa\aa_135.png,आ,aa,28
synthetic_braille_dataset\aa\aa_136.png,आ,aa,28
synthetic_braille_dataset\aa\aa_137.png,आ,aa,28
synthetic_braille_dataset\aa\aa_138.png,आ,aa,28
synthetic_braille_dataset\aa\aa_139.png,आ,aa,28
synthetic_braille_dataset\aa\aa_140.png,आ,aa,28
synthetic_braille_dataset\aa\aa_141.png,आ,aa,28
synthetic_braille_dataset\aa\aa_142.png,आ,aa,28
synthetic_braille_dataset\aa\aa_143.png,आ,aa,28
synthetic_braille_dataset\aa\aa_144.png,आ,aa,28
synthetic_braille_dataset\aa\aa_145.png,आ,aa,28
synthetic_braille_dataset\aa\aa_146.png,आ,aa,28
synthetic_braille_dataset\aa\aa_147.png,आ,aa,28
synthetic_braille_dataset\aa\aa_148.png,आ,aa,28
synthetic_braille_dataset\aa\aa_149.png,आ,aa,28
synthetic_braille_dataset\aa\aa_150.png,आ,aa,28
synthetic_braille_dataset\aa\aa_151.png,आ,aa,28
synthetic_braille_dataset\aa\aa_152.png,आ,aa,28
synthetic_braille_dataset\aa\aa_153.png,आ,aa,28
synthetic_braille_dataset\aa\aa_154.png,आ,aa,28
synthetic_braille_dataset\aa\aa_155.png,आ,aa,28
synthetic_braille_dataset\aa\aa_156.png,आ,aa,28
synthetic_braille_dataset\aa\aa_157.png,आ,aa,28
synthetic_braille_dataset\aa\aa_158.png,आ,aa,28
synthetic_braille_dataset\aa\aa_159.png,आ,aa,28
synthetic_braille_dataset\aa\aa_160.png,आ,aa,28
synthetic_braille_dataset\aa\aa_161.png,आ,aa,28
synthetic_braille_dataset\aa\aa_162.png,आ,aa,28
synthetic_braille_dataset\aa\aa_163.png,आ,aa,28
synthetic_braille_dataset\aa\aa_164.png,आ,aa,28
synthetic_braille_dataset\aa\aa_165.png,आ,aa,28
synthetic_braille_dataset\aa\aa_166.png,आ,aa,28
synthetic_braille_dataset\aa\aa_167.png,आ,aa,28
synthetic_braille_dataset\aa\aa_168.png,आ,aa,28
synthetic_braille_dataset\aa\aa_169.png,आ,aa,28
synthetic_braille_dataset\aa\aa_170.png,आ,aa,28
synthetic_braille_dataset\aa\aa_171.png,आ,aa,28
synthetic_braille_dataset\aa\aa_172.png,आ,aa,28
synthetic_braille_dataset\aa\aa_173.png,आ,aa,28
synthetic_braille_dataset\aa\aa_174.png,आ,aa,28
synthetic_braille_dataset\aa\aa_175.png,आ,aa,28
synthetic_braille_dataset\aa\aa_176.png,आ,aa,28
synthetic_braille_dataset\aa\aa_177.png,आ,aa,28
synthetic_braille_dataset\aa\aa_178.png,आ,aa,28
synthetic_braille_dataset\aa\aa_179.png,आ,aa,28
synthetic_braille_dataset\aa\aa_180.png,आ,aa,28
synthetic_braille_dataset\aa\aa_181.png,आ,aa,28
synthetic_braille_dataset\aa\aa_182.png,आ,aa,28
synthetic_braille_dataset\aa\aa_183.png,आ,aa,28
synthetic_braille_dataset\aa\aa_184.png,आ,aa,28
synthetic_braille_dataset\aa\aa_185.png,आ,aa,28
synthetic_braille_dataset\aa\aa_186.png,आ,aa,28
synthetic_braille_dataset\aa\aa_187.png,आ,aa,28
synthetic_braille_dataset\aa\aa_188.png,आ,aa,28
synthetic_braille_dataset\aa\aa_189.png,आ,aa,28
synthetic_braille_dataset\aa\aa_190.png,आ,aa,28
synthetic_braille_dataset\aa\aa_191.png,आ,aa,28
synthetic_braille_dataset\aa\aa_192.png,आ,aa,28
synthetic_braille_dataset\aa\aa_193.png,आ,aa,28
synthetic_braille_dataset\aa\aa_194.png,आ,aa,28
synthetic_braille_dataset\aa\aa_195.png,आ,aa,28
synthetic_braille_dataset\aa\aa_196.png,आ,aa,28
synthetic_braille_dataset\aa\aa_197.png,आ,aa,28
synthetic_braille_dataset\aa\aa_198.png,आ,aa,28
synthetic_braille_dataset\aa\aa_199.png,आ,aa,28
synthetic_braille_dataset\aa\aa_200.png,आ,aa,28
synthetic_braille_dataset\aa\aa_201.png,आ,aa,28
synthetic_braille_dataset\aa\aa_202.png,आ,aa,28
synthetic_braille_dataset\aa\aa_203.png,आ,aa,28
synthetic_braille_dataset\aa\aa_204.png,आ,aa,28
synthetic_braille_dataset\aa\aa_205.png,आ,aa,28
synthetic_braille_dataset\aa\aa_206.png,आ,aa,28
synthetic_braille_dataset\aa\aa_207.png,आ,aa,28
synthetic_braille_dataset\aa\aa_208.png,आ,aa,28
synthetic_braille_dataset\aa\aa_209.png,आ,aa,28
synthetic_braille_dataset\aa\aa_210.png,आ,aa,28
synthetic_braille_dataset\aa\aa_211.png,आ,aa,28
synthetic_braille_dataset\aa\aa_212.png,आ,aa,28
synthetic_braille_dataset\aa\aa_213.png,आ,aa,28
synthetic_braille_dataset\aa\aa_214.png,आ,aa,28
synthetic_braille_dataset\aa\aa_215.png,आ,aa,28
synthetic_braille_dataset\aa\aa_216.png,आ,aa,28
synthetic_braille_dataset\aa\aa_217.png,आ,aa,28
synthetic_braille_dataset\aa\aa_218.png,आ,aa,28
synthetic_braille_dataset\aa\aa_219.png,आ,aa,28
synthetic_braille_dataset\aa\aa_220.png,आ,aa,28
synthetic_braille_dataset\aa\aa_221.png,आ,aa,28
synthetic_braille_dataset\aa\aa_222.png,आ,aa,28
synthetic_braille_dataset\aa\aa_223.png,आ,aa,28
synthetic_braille_dataset\aa\aa_224.png,आ,aa,28
synthetic_braille_dataset\aa\aa_225.png,आ,aa,28
synthetic_braille_dataset\aa\aa_226.png,आ,aa,28
synthetic_braille_dataset\aa\aa_227.png,आ,aa,28
synthetic_braille_dataset\aa\aa_228.png,आ,aa,28
synthetic_braille_dataset\aa\aa_229.png,आ,aa,28
synthetic_braille_dataset\aa\aa_230.png,आ,aa,28
synthetic_braille_dataset\aa\aa_231.png,आ,aa,28
synthetic_braille_dataset\aa\aa_232.png,आ,aa,28
synthetic_braille_dataset\aa\aa_233.png,आ,aa,28
synthetic_braille_dataset\aa\aa_234.png,आ,aa,28
synthetic_braille_dataset\aa\aa_235.png,आ,aa,28
synthetic_braille_dataset\aa\aa_236.png,आ,aa,28
synthetic_braille_dataset\aa\aa_237.png,आ,aa,28
synthetic_braille_dataset\aa\aa_238.png,आ,aa,28
synthetic_braille_dataset\aa\aa_239.png,आ,aa,28
